ORDER/COMMI TMENT DATE,"ORDER
NUMBER","NAME OF SERVICE PROVIDER
(S)","LOGIS & MAAA NUMBER OF
THE SERVICE PROVIDER",ITEM DESCRIPTION,UNIT PRICE,"UNIT OF
MEASUREMENT",QUANTITY,"STAGE OF TRANSACTION ""The amount committeed or spent can ONLY be at one of the
stages and NOT more than one stage""",,,
14-Apr-20,HH-042605,Alframed Halfwayhouse Midrand,MAAA0338949,Infra-red Thermometers,R 941.00,each,400,"R                    3 76,400.00","R                  3 76,400.00",R                            -,R                   -
14-Apr-20,HH-042604,Roka Media,MAAA0174870,Toiletries,Various Items,Various Items,Various Items,"R                      2 9,175.00","R                    2 9,175.00",R                            -,R                   -
21-Apr-20,HH-042616,Imperial Logistics,MAAA0704129,Surgical Masks,R 624.00,Box,"4,000","R                 2 ,496,000.00","R               2 ,496,000.00",R                            -,R                   -
22-Apr-20,HH-042632,Lounge 848 and Shaxe Khumalo,MAAA0650699,"Public Campaign
Masque",Transversal  contract,as per contract,as per contract,"R                    9 98,017.17","R                  9 98,017.17",R                           -,R                   -
22-Apr-20,HH-042631,Lounge 848 and Shaxe Khumalo,MAAA0650699,"Public Campaign
Masque",Transversal  contract,as per contract,as per contract,"R                    2 21,515.48","R                  2 21,515.48",R                            -,R                   -
14-Apr-20,HH-042606,Elsie Catering,MAAA0088743,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      6 5,250.00","R                    6 5,250.00",R                            -,R                   -
14-Apr-20,HH-042607,Sophia and Kego,MAAA0096950,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      6 5,250.00","R                    6 5,250.00",R                           -,R                   -
13-May-20,HH-042646,Sophia and Kego,MAAA0096950,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                        9 ,279.60","R                      9 ,279.60",R                            -,R                   -
14-Apr-20,HH-042609,Ral Events,MAAA0138076,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      2 1,801.00","R                    2 1,801.00",R                           -,R                   -
14-Apr-20,HH-042608,Ral Events,MAAA0138076,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      4 3,602.00","R                    4 3,602.00",R                            -,R                   -
21-Apr-20,HH-042628,Ral Events,MAAA0138076,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      6 3,241.50","R                    6 3,241.50",R                            -,R                   -
13-May-20,HH-042639,Ral Events,MAAA0138076,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                        8 ,720.40","R                      8 ,720.40",R                            -,R                   -
13-May-20,HH-042637,Ral Events,MAAA0138076,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                        9 ,385.20","R                      9 ,385.20",R                            -,R                   -
21-Apr-20,HH-042624,Selloane Trading,MAAA0096762,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                      7 1,433.00","R                    7 1,433.00",R                           -,R                   -
13-May-20,HH-042638,Selloane Trading,MAAA0096762,Catering for CWs,Transversal  contract,as per contract,as per contract,"R                        9 ,385.20","R                      9 ,385.20",R                            -,R                   -
21-Apr-20,HH-042629,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,,"R                      4 ,703.44","R                   4 ,703.44",R                   -
21-Apr-20,HH-042630,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,"R                      1 9,526.88","R                    2 0,406.88",R                      8 80.00,R                   -
13-May-20,HH-042640,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,"R                        1 ,201.72","R                      4 ,355.16","R                   3 ,153.44",R                   -
15-May-20,HH-042647,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,"R                      3 8,520.00","R                    4 1,160.00","R                   2 ,640.00",R                   -
15-May-20,HH-042648,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,"R                    1 52,657.97","R                  1 52,464.00",-R                      1 93.97,R                   -
HH-042656,Gemini Moon Trading,MAAA0049874,Accomodation,Transversal  contract,as per contract,as per contract,"R                    5 33,168.16","R                  5 33,168.16",R                            -,R                   -,"R                                       533,168.16"
